Zaman damgası,Hangi üniversitede okuyorsun?,Hangi bölümde okuyorsun?,Derslerinin işlenme yöntemi aşağıdakilerden hangisi?,Derslerinin işleyişi aşağıdakilerden hangisi ile yapılıyor?,Derslerinin not değerlendirilmesinde vize ve final sınavlarına ek olarak farklı metotlar uygulanıyor mu?,Derslerin öğrenci etkileşimli mi işleniyor?,Bir sorun ile karşılaştığında öğretim üyeleri veya gerekli birimlere ulaşmak pandemi öncesine göre nasıl bir hal aldı?,Yukarıda vermiş olduğun cevaplara göre uzaktan eğitim sürecinin verimlilik puanı senin için kaç olurdu?
21.10.2020 22:07:34,Çukurova Üniversitesi ,Makine müh,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
21.10.2020 22:10:27,Çukurova üniversitesi ,Diş hekimliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 22:12:13,Yıldız Teknik Üniversitesi ,Fen Bilgisi Öğretmenliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
21.10.2020 22:13:06,Kocaeli üniversitesi ,İnşaat mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
21.10.2020 22:15:55,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 22:21:32,İstanbul Teknik Üniversitesi ,Geomatik Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 22:25:17,Kocaeli üniversitesi,Matematik,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
21.10.2020 22:26:36,Beykoz Üniversitesi,Havacılık Yönetimi,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,1
21.10.2020 22:27:09,Gazi Üniversitesi,Elektrik Elektronik Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 22:32:20,Kocaeli üniversitesi,Bİlgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 22:35:48,kocaeli üniversitesi ,inşaat mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
21.10.2020 22:43:49,Sakarya Üniversitesi,Tıp Fakültesi,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
21.10.2020 22:44:23,Gazi üniversitesi ,Elektrik elektronik mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 22:45:11,Gazi Üniversitesi,Elektrik-Elektronik Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
21.10.2020 22:45:14,Gazi Üniversitesi,EEM,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,4
21.10.2020 22:46:15,Yıldırım beyazıt ,Odyoloji ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 22:46:37,Orta Doğu Teknik Üniversitesi,Fizik/Hazırlık sınıfındayım.,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
21.10.2020 22:51:46,Yozgat Bozok,Besyo,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 22:53:34,Gazi üni,Elektrik elektronik muhendisligi,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 22:53:52,Kocaeli üniversitesi ,Hemsirelik,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 23:00:15,Çukurova,Makine mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
21.10.2020 23:02:02,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
21.10.2020 23:02:43,Eskişehir Teknik Üniversitesi,İnşaat Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,4
21.10.2020 23:05:33,Kocaeli Üniversitesi ,Matematik,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
21.10.2020 23:12:00,Sakarya Üniversitesi,Tıp fakültesi,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 23:15:18,Gazi Üniversitesi,Elektrik-elektronik mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 23:17:31,Gazi Üniversitesi ,Makine Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,1
21.10.2020 23:19:28,Kocaeli üniversitesi,Matematik,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 23:32:35,Gazi Üniversitesi,Elektrik Elektronik Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 23:36:26,Atatürk,Tıbbi görüntüle teknikleri,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 23:45:53,İstanbul Teknik Üniversitesi ,Jeoloji Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
21.10.2020 23:49:20,Erciyes Üniversitesi,Türk Dili ve Edebiyatı,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 23:53:37,Eskişehir Teknik Üniversitesi,Uçak Gövde ve Motor Bakımı,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
21.10.2020 23:57:44,Kocaeli Üniversitesi ,İktisat,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
21.10.2020 23:57:50,Trabzon,Hukuk,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
21.10.2020 23:58:19,İstanbul Gelişim Üniversitesi ,Havacılık Yönetimi,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 00:00:56,Kocaeli Üniversitesi,İnşaat Mühemdisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 00:10:37,Gazi Üniversitesi,EEM,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 00:12:13,Beykent Üniversitesi,Endüstri&Yazılım Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,2
22.10.2020 00:17:15,Karabük ,Tıp,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 00:26:28,Yıldız teknik üniversitesi,Çevre mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 00:32:21,Kocaeli Üniversitesi ,Matematik ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 00:39:59,İstanbul Galata Üniversitesi ,Gastronomi ve Mutfak Sanatları ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 00:52:29,Kocaeli Üniversitesi ,Bilgisayar mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 00:54:00,Kocaeli Üniversitrsi,Bilgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,4
22.10.2020 00:54:05,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 00:54:18,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 00:57:11,Kou,Kou bilgisayar,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 00:57:13,Kocaeli,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 00:57:50,Kocaeli Üniversitesi ,Bilgisayar mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 00:59:56,Kocaeli Üniversitesi,Bilgisayar mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 00:59:57,Kocaeli üniversitesi ,Gazetecilik ,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 01:00:44,Kocaeli Üniversitesi,Bilgisayar mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 01:05:01,kocaeli üniversitesi,bilgisayar mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
22.10.2020 01:05:23,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,4
22.10.2020 01:06:56,kocaeli üniversitesi,bilgisayar müh,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 01:09:40,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
22.10.2020 01:12:54,Kocaeli Üniversitesi ,Matematik ve fizik ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 01:15:52,Kocaeli Üniversitesi ,Görsel İletişim Tasarımı ,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 01:17:08,Kocaeli üniversitesi,Elektrik mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 01:17:21,Kültür Üniversitesi,Uluslararası Ticaret,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
22.10.2020 01:17:39,kocaeli üniversitesi,inşaat mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 01:21:24,Kocaeli Üniversitesi ,Mekatronik Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 01:23:13,Kocaeli Üniversitesi,Bilgisayar Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 01:28:19,Kocaeli üniversitesi ,Bilgisayar mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 01:30:16,Kocaeli Üniversitesi,İnşaat Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 01:31:00,Kocaeli Üniversitesi ,Elektrik Mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 01:33:54,Bolu Abant İzzet Baysal Üniversitesi,Tıp Fakültesi,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
22.10.2020 01:35:57,İstanbul Üniversitesi-Cerrahpaşa,Endüstri mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
22.10.2020 01:37:16,Kocaeli Üniversitesi ,Elektrik Mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 01:48:28,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 01:53:14,Kocaeli Üniversitesi,İnşaat Mühendisliği,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 01:55:02,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 01:57:25,Kocaeli Üniversitesi ,Bilgisayar Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 02:01:46,Kocaeli üniversitesi,Bilgisayar Mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 02:15:24,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 02:46:37,Çü,Eee,Tüm derslerim asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 06:35:28,Kocaeli üniversitesi,Matematik,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
22.10.2020 08:24:57,Kocaeli üniversitesi,Bilgisayar mühendisliği,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 08:44:15,Kocaeli Üniversitesi,Sosyal hizmet,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 08:46:31,Harran üniversitesi,Bilgisayar mühendisliği bölümü,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 08:58:52,Kocaeli Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 09:08:09,Kocaeli üniversitesi ,Bilgisayar mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 09:16:19,Kocaeli ,Matematik ,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
22.10.2020 09:21:42,İstanbul aydın üniversitesi,Makine,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
22.10.2020 10:10:42,Afyonkarahisar sağlık bilimleri üniversitesi ,Beslenme ve diyetetik,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
22.10.2020 10:53:45,Kocaeli üniversitesi,Bilgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,5
22.10.2020 11:06:02,Kocaeli üni,Bilgisayar mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,4
